Sr No,Job Role,Min Salary(),Max Salary,Rating,Company,Location,State,Headquarter,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Easy Apply
271,DALLAS Campus Recruiting 2018 - I&D - Data Analyst,"$24,000.00","$48,000.00",3.80,"Capgemini
3.8",Dallas, TX,"Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),FALSE
1609,Network Data Analyst,"$48,000.00","$88,000.00",4.30,"PeopleNTech LLC
4.3",Dallas, TX,"Vienna, VA",1 to 50 employees,,Contract,IT Services,Information Technology,$1 to $5 million (USD),FALSE
1443,Information Security Data Analyst,"$41,000.00","$86,000.00",3.20,"One Call Claims, LLC
3.2",Dallas, TX,"Mobile, AL",201 to 500 employees,,Company - Private,Insurance Carriers,Insurance, / Non-Applicable,FALSE
1973,Senior Enterprise Data Management Analyst,"$48,000.00","$88,000.00",3.10,"Molex
3.1",Dallas, TX,"Lisle, IL",10000+ employees,1938,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$2 to $5 billion (USD),FALSE
521,Data Analyst,"$30,000.00","$53,000.00",2.90,"Trinity Industries
2.9",Dallas, TX,"Dallas, TX",10000+ employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),FALSE
1139,Data Management Analyst,"$41,000.00","$86,000.00",2.90,"Trinity Industries
2.9",Dallas, TX,"Dallas, TX",10000+ employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),FALSE
2148,Senior Enterprise BI Data Analyst,"$44,000.00","$82,000.00",2.10,"Colfax Corporation
2.1",Dallas, TX,"Annapolis Junction, MD",10000+ employees,1995,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),FALSE
2149,Senior Enterprise BI Data Analyst,"$48,000.00","$88,000.00",3.00,"DJO Global
3.0",Dallas, TX,"Dallas, TX",5001 to 10000 employees,1978,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD),FALSE
513,Data Analyst,"$24,000.00","$48,000.00",3.40,"ZeniMax Media, Inc.
3.4",Dallas, TX,"Rockville, MD",201 to 500 employees,1999,Company - Private,Video Games,Media, / Non-Applicable,FALSE
1865,Senior Data Analyst,"$41,000.00","$86,000.00",4.50,"Mobilityware
4.5",Dallas, TX,"Irvine, CA",51 to 200 employees,1990,Company - Private,Video Games,Media, / Non-Applicable,FALSE
2071,Senior Data Analyst,"$30,000.00","$53,000.00",3.80,"Atmos Energy Corp.
3.8",Dallas, TX,"Dallas, TX",1001 to 5000 employees,1906,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),FALSE
1907,Senior Data Analyst,"$48,000.00","$88,000.00",4.30,"Mill Creek Residential Trust
4.3",Dallas, TX,"Boca Raton, FL",501 to 1000 employees,2011,Company - Private,Real Estate,Real Estate, / Non-Applicable,FALSE
512,Data Analyst,"$24,000.00","$48,000.00",4.10,"Nokia
4.1",Dallas, TX,"Nokia, Finland",10000+ employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),FALSE
520,Data Analyst,"$30,000.00","$53,000.00",,1,Dallas, TX,,,,,,,,FALSE
1290,Business Analyst,"$44,000.00","$78,000.00",,Searchlight Professional Networks,Dallas, TX,,,,,,,,FALSE
1307,Data Reporting Analyst,"$41,000.00","$86,000.00",,"Real Soft, Inc / Diversity Direct",Dallas, TX,,,,,,,,FALSE
1718,Reporting Data Analyst,"$44,000.00","$82,000.00",,Financial Services Company,Dallas, TX,,,,,,,,FALSE
2001,Senior QC Analyst,"$44,000.00","$78,000.00",,"Laboratory Validation Specialists, Inc",Dallas, TX,,,,,,,,FALSE
525,Data Analyst,"$30,000.00","$53,000.00",,Corporate G. LLC,Dallas, TX,"Bengaluru, India",201 to 500 employees,,Company - Private,,, / Non-Applicable,FALSE
943,Data Analyst,"$24,000.00","$48,000.00",3.30,"Precision
3.3",Dallas, TX,"Hastings, MN",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),FALSE
1140,Data Management Analyst,"$44,000.00","$82,000.00",,Corporate G. LLC,Dallas, TX,"Bengaluru, India",201 to 500 employees,,Company - Private,,, / Non-Applicable,FALSE
1143,Data Management Analyst,"$44,000.00","$82,000.00",5.00,"Georgia IT Inc.
5.0",Dallas, TX,"Alpharetta, GA",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),FALSE
1222,Senior Data Science Analyst,"$48,000.00","$88,000.00",4.50,"Radiant Digital
4.5",Dallas, TX,"New York, NY",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),FALSE
1511,Data Analyst,"$48,000.00","$88,000.00",3.50,"CTG
3.5",Dallas, TX,"New York, NY",,,Company - Private,,, / Non-Applicable,FALSE
508,Data Analyst,"$24,000.00","$48,000.00",3.80,"TekniSMart Solutions
3.8",Dallas, TX,"Plano, TX",1 to 50 employees,,Contract,,, / Non-Applicable,FALSE
645,Data Analyst,"$93,000.00","$1,59,000.00",4.60,"Ascent
4.6",Daly City, CA,"Concord, CA",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),FALSE
1366,Finance Data Analyst,"$43,000.00","$94,000.00",4.30,"Na Ali'i
4.3",DC Ranch, AZ,"Honolulu, HI",201 to 500 employees,2003,Company - Private,Consulting,Business Services, / Non-Applicable,FALSE
1453,IT Data Analyst,"$45,000.00","$78,000.00",3.80,"AOC Solutions, Inc.
3.8",DC Ranch, AZ,"Chantilly, VA",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
427,Data Analyst,"$67,000.00","$92,000.00",4.00,"Roig Lawyers
4.0",Deerfield, IL,"Deerfield Beach, FL",201 to 500 employees,2000,Private Practice / Firm,Legal,Accounting & Legal, / Non-Applicable,FALSE
203,Business Systems Analyst,"$68,000.00","$87,000.00",3.00,"Walgreens
3.0",Deerfield, IL,"Deerfield, IL",10000+ employees,1901,Company - Public,Drug & Health Stores,Retail,$10+ billion (USD),FALSE
1768,Senior Analyst,"$97,000.00","$1,29,000.00",3.00,"Walgreens
3.0",Deerfield, IL,"Deerfield, IL",10000+ employees,1901,Company - Public,Drug & Health Stores,Retail,$10+ billion (USD),FALSE
26,Data Visualization Analyst,"$57,000.00","$1,00,000.00",4.20,"DW Simpson
4.2",Denver, CO,"Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),FALSE
193,Business Data Analyst,"$57,000.00","$1,00,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
675,Data Analyst,"$57,000.00","$67,000.00",3.10,"Integrated Resources
3.1",Denver, CO,"Edison, NJ",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),FALSE
1003,Data Analyst,"$57,000.00","$67,000.00",3.70,"Infotree Service Inc
3.7",Denver, CO,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),FALSE
1063,Data Base Programmer/Analyst,"$57,000.00","$1,00,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1064,Data Base Programmer/Analyst,"$57,000.00","$1,00,000.00",3.30,"V.L.S. Systems
3.3",Denver, CO,"Chantilly, VA",201 to 500 employees,2006,Company - Private,Consulting,Business Services,$25 to $50 million (USD),FALSE
1065,Data Base Programmer/Analyst,"$57,000.00","$1,00,000.00",4.30,"22nd Century Staffing
4.3",Denver, CO,"McLean, VA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),TRUE
1233,Data Security Analyst,"$49,000.00","$91,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1234,Data Security Analyst,"$57,000.00","$1,00,000.00",4.30,"22nd Century Staffing
4.3",Denver, CO,"McLean, VA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),TRUE
1236,Data Security Analyst,"$78,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1237,Data Security Analyst,"$78,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1736, Data Security Analys,"$78,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
1737, Data Security Analys,"$78,000.00","$1,04,000.00",2.50,"Avacend, Inc.
2.5",Denver, CO,"Alpharetta, GA",51 to 200 employees,,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
2221,Technical Business/Data Analyst,"$49,000.00","$91,000.00",2.60,"Y-Axis Inc
2.6",Denver, CO,"West Windsor, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,Less than $1 million (USD),FALSE
688,Data Analyst,"$49,000.00","$91,000.00",4.10,"Kforce
4.1",Denver, CO,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),FALSE
1606,Mutual Fund Data Analyst,"$49,000.00","$91,000.00",3.50,"Broadridge
3.5",Denver, CO,"Lake Success, NY",10000+ employees,2007,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),FALSE
8,Data Analyst,"$49,000.00","$91,000.00",4.30,"Legislative Branch
4.3",Denver, CO,"Atlanta, GA",501 to 1000 employees,1789,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
1312,DMV/DC Data Services Analyst,"$49,000.00","$91,000.00",3.30,"State of Colorado
3.3",Denver, CO,"Denver, CO",10000+ employees,,Government,State & Regional Agencies,Government, / Non-Applicable,FALSE
1389,GAO Analyst,"$49,000.00","$91,000.00",3.50,"Government Accountability Office
3.5",Denver, CO,"Washington, DC",1001 to 5000 employees,1921,Government,Federal Agencies,Government, / Non-Applicable,FALSE
835,Data Analyst,"$49,000.00","$91,000.00",3.00,"RxRevu
3.0",Denver, CO,"Denver, CO",1 to 50 employees,,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
1710,Reporting Data Analyst,"$57,000.00","$67,000.00",5.00,"Strive Health
5.0",Denver, CO,"Denver, CO",1 to 50 employees,2018,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
73,Associate Data Analyst,"$49,000.00","$91,000.00",3.50,"Recondo Technology
3.5",Denver, CO,"Denver, CO",51 to 200 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),FALSE
673,Data Analyst,"$57,000.00","$67,000.00",3.60,"Dire Wolf Digital
3.6",Denver, CO,"Denver, CO",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology, / Non-Applicable,FALSE
674,Data Analyst,"$57,000.00","$67,000.00",3.80,"BridgeView IT
3.8",Denver, CO,"Denver, CO",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),FALSE
676,Data Analyst,"$57,000.00","$67,000.00",4.30,"Paramount Software Solutions, Inc
4.3",Denver, CO,"Alpharetta, GA",51 to 200 employees,1997,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),FALSE
680,Data Analyst,"$57,000.00","$67,000.00",3.40,"Advent Global Solutions
3.4",Denver, CO,"Houston, TX",501 to 1000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),FALSE
682,Data Analyst,"$57,000.00","$67,000.00",3.30,"PROLIM Global Corporation
3.3",Denver, CO,"Farmington Hills, MI",201 to 500 employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),FALSE
683,Data Analyst,"$57,000.00","$67,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Denver, CO,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
684,Data Analyst,"$57,000.00","$67,000.00",5.00,"Edison Software, Inc.
5.0",Denver, CO,"San Jose, CA",51 to 200 employees,,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),FALSE
692,Data Analyst,"$49,000.00","$91,000.00",5.00,"xentity corporation
5.0",Denver, CO,"Lakewood, CO",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),FALSE
735,Data Analyst,"$57,000.00","$1,00,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Denver, CO,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
921,Data Analyst,"$57,000.00","$1,00,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Denver, CO,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1062,Data Base Programmer/Analyst,"$57,000.00","$1,00,000.00",3.70,"22nd Century Technologies
3.7",Denver, CO,"Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),TRUE
1216,Data Science Analyst,"$49,000.00","$91,000.00",5.00,"xentity corporation
5.0",Denver, CO,"Lakewood, CO",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),FALSE
1235,Data Security Analyst,"$57,000.00","$1,00,000.00",4.10,"Mavensoft Technologies, LLC.
4.1",Denver, CO,"Beaverton, OR",1 to 50 employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),FALSE
1405,Healthcare Data Analyst,"$57,000.00","$67,000.00",3.60,"CitiusTech
3.6",Denver, CO,"Mumbai, India",1001 to 5000 employees,2005,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),FALSE
1504,Junior Data Analyst,"$57,000.00","$67,000.00",5.00,"Staffigo Technical Services, LLC
5.0",Denver, CO,"Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),FALSE
1968,Senior Data Quality Analyst,"$49,000.00","$91,000.00",3.50,"Ibotta
3.5",Denver, CO,"Denver, CO",501 to 1000 employees,2012,Company - Private,Internet,Information Technology, / Non-Applicable,TRUE
2218,Technical Business/Data Analyst,"$57,000.00","$1,00,000.00",4.10,"Source of Future Technology Inc
4.1",Denver, CO,"New York, NY",1 to 50 employees,1981,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),FALSE
677,Data Analyst,"$57,000.00","$67,000.00",2.90,"Wipro Ltd.
2.9",Denver, CO,"Bengaluru, India",10000+ employees,1945,Company - Public,IT Services,Information Technology,$5 to $10 billion (USD),FALSE
715,Data Analyst,"$57,000.00","$67,000.00",3.80,"CoreSite
3.8",Denver, CO,"Denver, CO",201 to 500 employees,2001,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),FALSE
1444,Sales Data Analyst,"$57,000.00","$67,000.00",4.00,"Autodesk
4.0",Denver, CO,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),FALSE
1943,Senior Data Analyst,"$57,000.00","$67,000.00",4.00,"Twilio
4.0",Denver, CO,"San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),TRUE
681,Data Analyst,"$57,000.00","$67,000.00",4.00,"Hotel Engine
4.0",Denver, CO,"Denver, CO",51 to 200 employees,2015,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism, / Non-Applicable,FALSE
1372,Finance Data Analyst,"$49,000.00","$91,000.00",,Black Knight Financial Technology Solutions,Denver, CO,,,,,,,,FALSE
2203,Technical Business/Data Analyst,"$78,000.00","$1,04,000.00",,Spiceorb,Denver, CO,,,,,,,,FALSE
2204,Technical Business/Data Analyst,"$78,000.00","$1,04,000.00",,Spiceorb,Denver, CO,,,,,,,,FALSE
431,Data Analyst,"$67,000.00","$92,000.00",4.00,"MRINetwork
4.0",Des Plaines, IL,"Philadelphia, PA",1001 to 5000 employees,1965,Subsidiary or Business Segment,,, / Non-Applicable,FALSE
406,Data Analyst,"$60,000.00","$66,000.00",4.60,"Swoon
4.6",Downers Grove, IL,"Chicago, IL",201 to 500 employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),FALSE
434,Data Analyst,"$42,000.00","$76,000.00",3.60,"Kelly Mitchell Group
3.6",Downers Grove, IL,"Saint Louis, MO",1001 to 5000 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),FALSE
720,Data Analyst,"$60,000.00","$66,000.00",3.30,"AppleOne
3.3",Downers Grove, IL,"Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),FALSE
781,Data Analyst,"$60,000.00","$66,000.00",4.60,"Swoon
4.6",Downers Grove, IL,"Chicago, IL",201 to 500 employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),FALSE
416,Data Analyst,"$73,000.00","$82,000.00",4.10,"SkySource Solutions
4.1",Downers Grove, IL,"Berea, OH",1 to 50 employees,2017,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),FALSE
1470,Junior Data Analyst,"$60,000.00","$66,000.00",3.40,"Kelly
3.4",Downers Grove, IL,"Troy, MI",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),FALSE
417,Data Analyst,"$73,000.00","$82,000.00",3.70,"Randstad
3.7",Downers Grove, IL,"Atlanta, GA",1001 to 5000 employees,,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
800,Data Analyst,"$42,000.00","$76,000.00",2.50,"BankFinancial Corporation
2.5",Downers Grove, IL,"Burr Ridge, IL",201 to 500 employees,2005,Company - Public,Banks & Credit Unions,Finance,$50 to $100 million (USD),FALSE
1226,Data Science Analyst,"$68,000.00","$87,000.00",3.40,"PNC Financial Services Group
3.4",Downers Grove, IL,"Pittsburgh, PA",10000+ employees,1845,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),FALSE
936,Data Analyst,"$37,000.00","$44,000.00",3.90,"Fred Beans
3.9",Doylestown, PA,"Doylestown, PA",1001 to 5000 employees,,Company - Private,Vehicle Dealers,Retail,$1 to $2 billion (USD),FALSE
934,Data Analyst,"$38,000.00","$68,000.00",,FredBeans,Doylestown, PA,,,,,,,,FALSE
935,Data Analyst,"$37,000.00","$44,000.00",1.80,"Fred Beans Parts, Inc
1.8",Doylestown, PA,"Doylestown, PA",51 to 200 employees,,Company - Private,,,$50 to $100 million (USD),FALSE
1820,Senior Data Analyst,"$26,000.00","$47,000.00",4.10,"Shape Security
4.1",Draper, UT,"Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology, / Non-Applicable,FALSE
1817,Senior Data Analyst,"$26,000.00","$47,000.00",3.80,"F5 Networks
3.8",Draper, UT,"Seattle, WA",5001 to 10000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),FALSE
2191,Systems and Data Analyst,"$42,000.00","$66,000.00",,Ottimo Resources,Duarte, CA,"Carson, CA",,,Company - Public,,, / Non-Applicable,FALSE
1265,Data Validation Analyst,"$28,000.00","$52,000.00",5.00,"Revel IT
5.0",Dublin, OH,"Dublin, OH",201 to 500 employees,1997,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),TRUE
2215,Technical Business/Data Analyst,"$28,000.00","$52,000.00",4.50,"Dedicated Tech Services, Inc.
4.5",Dublin, OH,"Columbus, OH",1 to 50 employees,2008,Private Practice / Firm,IT Services,Information Technology,$1 to $5 million (USD),FALSE
1873,Senior Data Analyst,"$51,000.00","$93,000.00",3.90,"Amazon
3.9",East Palo Alto, CA,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),FALSE
1452,IT Data Analyst,"$60,000.00","$1,24,000.00",3.30,"Sycuan Casino
3.3",El Cajon, CA,"El Cajon, CA",1001 to 5000 employees,1983,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),FALSE
1364,Finance Data Analyst,"$35,000.00","$45,000.00",3.80,"Tecolote Research
3.8",El Segundo, CA,"Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),FALSE
392,Data Analyst,"$37,000.00","$70,000.00",3.80,"Login Consulting Services
3.8",El Segundo, CA,"El Segundo, CA",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),FALSE
1469,Junior Data Analyst,"$65,000.00","$81,000.00",3.80,"Login Consulting Services
3.8",El Segundo, CA,"El Segundo, CA",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),FALSE
1716,Reporting Data Analyst,"$57,000.00","$1,03,000.00",4.50,"Century Group (CA)
4.5",El Segundo, CA,"El Segundo, CA",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services, / Non-Applicable,FALSE
2108,Senior Data Analyst,"$1,13,000.00","$1,32,000.00",3.80,"Login Consulting Services
3.8",El Segundo, CA,"El Segundo, CA",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),FALSE
382,Data Analyst,"$55,000.00","$1,03,000.00",3.50,"Robert Half
3.5",El Segundo, CA,"Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),FALSE
397,Data Analyst,"$37,000.00","$70,000.00",3.10,"Computershare
3.1",El Segundo, CA,"Melbourne, Australia",10000+ employees,1978,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),FALSE
1717,Reporting Data Analyst,"$65,000.00","$81,000.00",3.00,"Apollo Global Management
3.0",El Segundo, CA,"New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),FALSE
1960,Senior Data Management Analyst,"$65,000.00","$81,000.00",3.00,"Apollo Global Management
3.0",El Segundo, CA,"New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),FALSE
823,Data Analyst,"$55,000.00","$1,03,000.00",3.20,"Radiology Partners
3.2",El Segundo, CA,"El Segundo, CA",1001 to 5000 employees,2012,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
1667,Product Data Analyst,"$55,000.00","$1,03,000.00",3.10,"Stamps.com
3.1",El Segundo, CA,"El Segundo, CA",1001 to 5000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),FALSE
76,Associate Data Analyst,"$57,000.00","$1,03,000.00",3.40,"Activision Blizzard
3.4",El Segundo, CA,"Santa Monica, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD),FALSE
79,Automotive Data Analyst,"$35,000.00","$45,000.00",2.70,"MotorTrend Group
2.7",El Segundo, CA,"Los Angeles, CA",501 to 1000 employees,1948,Company - Public,TV Broadcast & Cable Networks,Media, / Non-Applicable,FALSE
383,Data Analyst,"$55,000.00","$1,03,000.00",4.70,"PeerStreet
4.7",El Segundo, CA,"El Segundo, CA",51 to 200 employees,,Company - Private,Real Estate,Real Estate, / Non-Applicable,FALSE
1304,Digital Marketing Data Analyst,"$65,000.00","$81,000.00",,"Recargo, Inc., makers of PlugShare",El Segundo, CA,,,,,,,,FALSE
1722,Research Data Analyst,"$42,000.00","$66,000.00",,"Recargo, Inc., makers of PlugShare",El Segundo, CA,,,,,,,,FALSE
1447,Investment Reporting Data Analyst,"$42,000.00","$66,000.00",,"Recruiting Resources, Inc.",El Segundo, CA,"Los Angeles, CA",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
1958,Senior Data Insights Analyst,"$35,000.00","$45,000.00",,Endpoint Closing,El Segundo, CA,"El Segundo, CA",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
1961,Senior Data Management Analyst,"$65,000.00","$81,000.00",,"Recruiting Resources, Inc.",El Segundo, CA,"Los Angeles, CA",1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
1188,Data Quality Analyst,"$97,000.00","$1,29,000.00",3.00,"Steiner Electric Co
3.0",Elk Grove Village, IL,"Elk Grove Village, IL",201 to 500 employees,1916,Company - Private,Wholesale,Business Services,$1 to $5 million (USD),FALSE
1759,Scientific Data Manager and Analyst,"$82,000.00","$1,16,000.00",4.40,"Perfect Day
4.4",Emeryville, CA,"Emeryville, CA",51 to 200 employees,2014,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, / Non-Applicable,FALSE
1660,Procurement Data Analyst,"$49,000.00","$91,000.00",3.80,"Lockheed Martin
3.8",Englewood, CO,"Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),FALSE
2183,Systems and Data Analyst,"$57,000.00","$67,000.00",3.70,"Boeing
3.7",Englewood, CO,"Chicago, IL",10000+ employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),FALSE
798,Data Analyst,"$49,000.00","$91,000.00",3.70,"Infotree Service Inc
3.7",Englewood, CO,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),FALSE
1790,Senior Business and Data Analyst,"$57,000.00","$1,00,000.00",2.70,"TechUSA
2.7",Englewood, CO,"Millersville, MD",1001 to 5000 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),FALSE
2119,Senior Data Analyst,"$57,000.00","$1,00,000.00",3.50,"WellDyneRx LLC
3.5",Englewood, CO,"Lakeland, FL",501 to 1000 employees,1990,Company - Private,Health Care Services & Hospitals,Health Care, / Non-Applicable,FALSE
2040,SQL Data Analyst,"$49,000.00","$91,000.00",4.00,"Unison Systems Inc.
4.0",Englewood, CO,"Greenwood Village, CO",1 to 50 employees,,Company - Private,,,$1 to $5 million (USD),FALSE
819,Data Analyst,"$57,000.00","$1,00,000.00",3.60,"Comcast
3.6",Englewood, CO,"Philadelphia, PA",10000+ employees,1963,Company - Public,,,$10+ billion (USD),FALSE
277,Data & Reporting Analyst,"$27,000.00","$52,000.00",3.30,"VNA Health Group
3.3",Essex Fells, NJ,"Holmdel, NJ",1001 to 5000 employees,1912,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),FALSE
432,Data Analyst,"$42,000.00","$76,000.00",4.10,"Kforce
4.1",Evanston, IL,"Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),FALSE
1022,Data Analyst,"$38,000.00","$68,000.00",3.80,"Innovative Development, LLC
3.8",Exton, PA,"Harleysville, PA",51 to 200 employees,1992,Company - Private,Consulting,Business Services,$10 to $25 million (USD),FALSE
348,Data Analyst,"$27,000.00","$52,000.00",,Jay Hill Repairs,Fairfield, NJ,"Fairfield, NJ",1 to 50 employees,,Company - Public,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance", / Non-Applicable,FALSE
286,Data Analyst,"$37,000.00","$66,000.00",,BulbHead,Fairfield, NJ,,1 to 50 employees,,Company - Private,,, / Non-Applicable,FALSE
990,Data Analyst,"$77,000.00","$1,32,000.00",,Episcopal Health Services Inc.,Far Rockaway, NY,,,,,,,,FALSE
